Title,Company,Link,Location,Date,Dice ID,Position ID
Software Engineer Analyst,Fresno County Office of Education,"https://www.dice.com/jobs/detail/Software-Engineer-Analyst-Fresno-County-Office-of-Education-Fresno-CA-93721/10454692/603861?icid=sr1-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-05 19:25:40 -0400,10454692,603861
Field Service Technician,Opex Corp,"https://www.dice.com/jobs/detail/Field-Service-Technician-Opex-Corp-Fresno-CA-93650/10156895/605101?icid=sr2-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-05 19:25:42 -0400,10156895,605101
Network Support Technician,Sebastian,"https://www.dice.com/jobs/detail/Network-Support-Technician-Sebastian-Kerman-CA-93630/10295554/4601797?icid=sr3-1p&q=Software%20Engineer&l=Fresno,%20CA","Kerman, CA",2016-07-12 19:25:43 -0400,10295554,4601797
Senior Mechanical Engineer,CyberCoders,"https://www.dice.com/jobs/detail/Senior-Mechanical-Engineer-CyberCoders-Fresno-CA-93650/cybercod/LJ1-126624731?icid=sr4-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-19 08:25:44 -0400,cybercod,LJ1-126624731
Project Engineer,Technology Resource Group,"https://www.dice.com/jobs/detail/Project-Engineer-Technology-Resource-Group-Fresno-CA-93720/90734436/16-03408?icid=sr5-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-12 19:25:45 -0400,90734436,16-03408
Air Quality Engineer,ExpertHiring,"https://www.dice.com/jobs/detail/Air-Quality-Engineer-ExpertHiring-Fresno-CA-93710/RTX16acee/ESF356?icid=sr6-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-19 16:25:46 -0400,RTX16acee,ESF356
IT Systems Architect,ObjectWin Technology Inc,"https://www.dice.com/jobs/detail/IT-Systems-Architect-ObjectWin-Technology-Inc-Fresno-CA-93712/objectwi/MK-070716-01?icid=sr7-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-19 10:25:47 -0400,objectwi,MK-070716-01
GEOINT EO Analyst 3/4,NORTHROP GRUMMAN,"https://www.dice.com/jobs/detail/GEOINT-EO-Analyst-3%26%23474-NORTHROP-GRUMMAN-Fresno-CA-93650/ngitbot/16010268?icid=sr8-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-18 22:25:48 -0400,ngitbot,16010268
"IT Specialist - Secret Clearance (Fresno, CA) Job","Yoh, A Day & Zimmermann Company","https://www.dice.com/jobs/detail/IT-Specialist-%26%2345-Secret-Clearance-%28Fresno%2C-CA%29-Job-Yoh%2C-A-Day-%26-Zimmermann-Company-Fresno-CA-93650/yohbot/1075744?icid=sr9-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-19 10:25:49 -0400,yohbot,1075744
Web Developer (JavaScript JQuery Backbone Bootstrap SQL),Volt,"https://www.dice.com/jobs/detail/Web-Developer-%28JavaScript-JQuery-Backbone-Bootstrap-SQL%29-Volt-Clovis-CA-93611/cxvolt/J3H7QF65GVZRDZT4HFW?icid=sr10-1p&q=Software%20Engineer&l=Fresno,%20CA","Clovis, CA",2016-07-19 08:25:50 -0400,cxvolt,J3H7QF65GVZRDZT4HFW
Entry-Level Web Developer (JS HTML CSS Angular SQL JSON),Volt,"https://www.dice.com/jobs/detail/Entry%26%2345Level-Web-Developer-%28JS-HTML-CSS-Angular-SQL-JSON%29-Volt-Clovis-CA-93611/cxvolt/J3L8BC6KB14QWVLS69H?icid=sr11-1p&q=Software%20Engineer&l=Fresno,%20CA","Clovis, CA",2016-07-19 08:25:50 -0400,cxvolt,J3L8BC6KB14QWVLS69H
.Net Developer,Robert Half Technology,"https://www.dice.com/jobs/detail/.Net-Developer-Robert-Half-Technology-Sacramento-CA-93704/rhalfint/00390-9900615?icid=sr12-1p&q=Software%20Engineer&l=Fresno,%20CA","Sacramento, CA",2016-07-19 19:11:51 -0400,rhalfint,00390-9900615
CTO/CMO - Up to $130k!!,CyberCoders,"https://www.dice.com/jobs/detail/CTO%26%2347CMO-%26%2345-Up-to-%24130k%21%21-CyberCoders-Fresno-CA-93650/cybercod/CW1-129394917?icid=sr13-1p&q=Software%20Engineer&l=Fresno,%20CA","Fresno, CA",2016-07-19 08:25:52 -0400,cybercod,CW1-129394917
